id_progetto,nome,descrizione,ambiti
1,Piattaforma Telemedicina,Servizio per consulti medici remoti e gestione cartelle cliniche,[1,12]
2,Riconoscimento Immagini Mediche,Algoritmo ML per analisi radiografie e supporto diagnostico,[2,12]
3,Ristrutturazione Casa Verde,Progetto di riqualificazione energetica e ristrutturazione edilizia,[3,13,14]
4,Bridge Design Rivitalizzazione,Progetto strutturale per ripristino ponte cittadino,[4,3]
5,Sistema Gestione Magazzino,Software per controllo stock e logistica,[2,21]
6,Fleet Optimization Trasporti,Ottimizzazione rotte e pianificazione flotte,[2,15,21]
7,Ecommerce Moda Locale,Marketplace per piccoli brand di moda,[2,5,17]
8,Campagna Marketing Digitale,Strategia per acquisizione clienti e social advertising,[6,2]
9,Sviluppo App Mobile,App nativa per prenotazioni eventi e pagamenti,[2]
10,Piattaforma e-Learning,Ambiente per corsi online e tracciamento progressi studenti,[8,2]
11,Impianto Fotovoltaico Urbano,Progettazione e installazione di pannelli su edifici pubblici,[14,13,3]
12,Ricerca Clinica Fase II,Studio clinico su nuovo farmaco per malattia cronica,[1,12,22]
13,Sistema Sicurezza Cantieri,Soluzione per monitoraggio sicurezza sul lavoro in cantiere,[18,3]
14,Rigenerazione Spazio Pubblico,Riprogettazione piazza e aree verdi cittadine,[3,13]
15,Analisi Dati Vendite,Reportistica e dashboard per migliorare performance commerciali,[2,5,6]
16,Prototype Robotica Industriale,Sviluppo prototipo per automazione assemblaggio,[4,12]
17,Piano Turismo Sostenibile,Strategia per promuovere turismo locale e sostenibile,[20,13]
18,Laboratorio Biotecnologie,Infrastruttura per ricerca e sviluppo biotecnologie,[22,12]
19,Centro Formazione Professionale,Programmi formativi per competenze tecniche locali,[8,5]
20,Studio Norme Sicurezza,Analisi e aggiornamento normative in materia di sicurezza sul lavoro,[18,9]
